Scenario	Replication	[TimeInSystem].SampleAverage/1[h]
1	1	0.4439243346722587
1	2	0.521371005604678
1	3	0.44129034932162464
1	4	0.41823361503495754
1	5	0.5193108747470561
1	6	0.46173408109982195
1	7	0.4142890493672368
1	8	0.4482505227605806
1	9	0.42511169655604364
1	10	0.4530162662932477
1	11	0.5213443100357701
1	12	0.44331939418301874
1	13	0.45078095759790604
1	14	0.43878193245256913
1	15	0.4529269766342484
1	16	0.4434842667768601
1	17	0.44937812929755705
1	18	0.48143844320310075
1	19	0.4628525123924934
1	20	0.4751046533185314
1	21	0.4380532952963661
1	22	0.44947842395822907
1	23	0.4290026757580256
1	24	0.4652657387129764
1	25	0.46569358154354146
1	26	0.45298305507689424
1	27	0.43136751121018596
1	28	0.4694085564103035
1	29	0.45707553019164854
1	30	0.4249440037753099
1	31	0.4362745416336324
1	32	0.4120764760385924
1	33	0.4733983845073693
1	34	0.45915232066520945
1	35	0.41990446553394767
1	36	0.44718059850033165
1	37	0.4170735934783622
1	38	0.41958009430903664
1	39	0.4471197965689678
1	40	0.4831994066689337
1	41	0.42895211170990427
1	42	0.40996395067780433
1	43	0.44179688974045966
1	44	0.42391485410406327
1	45	0.4377846919079874
1	46	0.43795365772845507
1	47	0.47147739521221915
1	48	0.42447016664778714
1	49	0.4567725351082413
1	50	0.46770182728092463
1		0.4492992700261053
